"user_email_hash","model_name","phrase_id","speaker_id","rating"
"4ea2e432","Glow-060spk","p010","AS009","5"
"4ea2e432","GT-000000","p050","VP131","5"
"4ea2e432","Glow-180spk","p046","VP131","1"
"4ea2e432","Tacotron2-030spk","p047","VP131","4"
"4ea2e432","Tacotron2-060spk","p027","IS038","3"
"4ea2e432","Tacotron2-180spk","p014","IS031","2"
"4ea2e432","GT-000000","p022","IS038","5"
"4ea2e432","Glow-180spk","p060","VP427","1"
"4ea2e432","Glow-030spk","p044","VP131","3"
"4ea2e432","Tacotron2-060spk","p034","MS052","1"
"4ea2e432","Tacotron2-030spk","p033","MS052","2"
"4ea2e432","Glow-060spk","p017","IS031","2"
"4ea2e432","Glow-030spk","p030","IS038","3"
"4ea2e432","Tacotron2-030spk","p019","IS031","5"
"4ea2e432","Tacotron2-060spk","p006","AS009","5"
"4ea2e432","GT-000000","p036","MS052","5"
"4ea2e432","Glow-030spk","p016","IS031","2"
"4ea2e432","Tacotron2-060spk","p013","IS031","2"
"4ea2e432","Glow-060spk","p003","AS009","2"
"4ea2e432","Glow-030spk","p051","VP427","2"
"4ea2e432","Glow-180spk","p032","MS052","1"
"4ea2e432","Tacotron2-030spk","p026","IS038","4"
"4ea2e432","Glow-180spk","p011","IS031","1"
"4ea2e432","Tacotron2-060spk","p020","IS031","3"
"4ea2e432","Glow-060spk","p031","MS052","3"
"4ea2e432","GT-000000","p008","AS009","5"
"4ea2e432","Tacotron2-060spk","p048","VP131","2"
"4ea2e432","Glow-030spk","p009","AS009","3"
"4ea2e432","Tacotron2-180spk","p021","IS038","3"
"4ea2e432","Glow-060spk","p024","IS038","2"
"4ea2e432","Tacotron2-030spk","p005","AS009","4"
"4ea2e432","Tacotron2-180spk","p042","VP131","2"
"4ea2e432","Glow-030spk","p023","IS038","3"
"4ea2e432","Glow-180spk","p004","AS009","3"
"4ea2e432","Tacotron2-180spk","p056","VP427","2"
"3e603dd0","Tacotron2-180spk","p054","VP427","4"
"4ea2e432","Glow-030spk","p002","AS009","3"
"4ea2e432","GT-000000","p057","VP427","4"
"3e603dd0","Glow-180spk","p044","VP131","2"
"4ea2e432","Glow-180spk","p053","VP427","1"
"4ea2e432","GT-000000","p029","IS038","5"
"3e603dd0","Tacotron2-030spk","p059","VP427","4"
"4ea2e432","Glow-180spk","p018","IS031","1"
"4ea2e432","Glow-060spk","p045","VP131","1"
"3e603dd0","Glow-060spk","p029","IS038","4"
"4ea2e432","Glow-180spk","p039","MS052","1"
"3e603dd0","Tacotron2-060spk","p053","VP427","3"
"4ea2e432","Glow-060spk","p059","VP427","1"
"4ea2e432","Glow-030spk","p058","VP427","3"
"3e603dd0","Glow-060spk","p015","IS031","4"
"3e603dd0","Glow-060spk","p001","AS009","5"
"3e603dd0","Glow-060spk","p008","AS009","5"
"3e603dd0","Tacotron2-030spk","p024","IS038","5"
"3e603dd0","Tacotron2-030spk","p010","AS009","4"
"3e603dd0","Glow-060spk","p057","VP427","3"
"3e603dd0","Glow-030spk","p049","VP131","3"
"3e603dd0","Tacotron2-030spk","p003","AS009","5"
"3e603dd0","Glow-180spk","p023","IS038","4"
"3e603dd0","Glow-030spk","p056","VP427","2"
"3e603dd0","Glow-060spk","p036","MS052","2"
"3e603dd0","Tacotron2-180spk","p040","MS052","3"
"3e603dd0","Tacotron2-060spk","p011","IS031","2"
"3e603dd0","GT-000000","p055","VP427","4"
"3e603dd0","GT-000000","p034","MS052","5"
"3e603dd0","Tacotron2-180spk","p033","MS052","4"
"3e603dd0","Glow-060spk","p050","VP131","3"
"3e603dd0","Tacotron2-060spk","p018","IS031","4"
"3e603dd0","Tacotron2-180spk","p047","VP131","5"
"3e603dd0","Glow-030spk","p035","MS052","3"
"3e603dd0","Tacotron2-180spk","p012","IS031","5"
"3e603dd0","Tacotron2-060spk","p025","IS038","5"
"3e603dd0","Tacotron2-030spk","p017","IS031","4"
"3e603dd0","Tacotron2-030spk","p031","MS052","4"
"3e603dd0","Glow-060spk","p022","IS038","3"
"3e603dd0","Glow-180spk","p030","IS038","4"
"3e603dd0","Tacotron2-060spk","p039","MS052","4"
"3e603dd0","GT-000000","p020","IS031","5"
